emg smp,emg val,bioz smp,bioz val,mmg smp,mmg val
227,-0.042963,0,0,0,0
228,-0.037098,0,0,0,0
229,-0.04487,0,0,0,0
230,-0.046349,0,0,0,0
231,-0.041819,0,0,0,0
0,0,0,0,180,-309.0
0,0,0,0,181,-635.0
0,0,0,0,182,-426.0
0,0,0,0,183,-488.0
0,0,0,0,184,-327.0
0,0,0,0,185,-151.0
0,0,0,0,186,-155.0
0,0,0,0,187,-286.0
0,0,0,0,188,-221.0
0,0,0,0,189,-177.0
0,0,0,0,190,-85.0
0,0,0,0,191,-9.0
0,0,0,0,192,-88.0
0,0,0,0,193,-54.0
0,0,0,0,194,-26.0
232,-0.04406,0,0,0,0
233,-0.042534,0,0,0,0
234,-0.043297,0,0,0,0
235,-0.043726,0,0,0,0
236,-0.041246,0,0,0,0
237,-0.041676,0,0,0,0
238,-0.044441,0,0,0,0
239,-0.043631,0,0,0,0
240,-0.042009,0,0,0,0
241,-0.042915,0,0,0,0
242,-0.042963,0,0,0,0
243,-0.041342,0,0,0,0
244,-0.039768,0,0,0,0
245,-0.044489,0,0,0,0
246,-0.045729,0,0,0,0
247,-0.0422,0,0,0,0
0,0,0,0,195,-290.0
0,0,0,0,196,387.0
0,0,0,0,197,322.0
0,0,0,0,198,272.0
0,0,0,0,199,227.0
0,0,0,0,200,194.0
0,0,0,0,201,159.0
0,0,0,0,202,138.0
0,0,0,0,203,114.0
0,0,0,0,204,94.0
0,0,0,0,205,79.0
0,0,0,0,206,-74.0
0,0,0,0,207,-17.0
0,0,0,0,208,-191.0
0,0,0,0,209,20.0
248,-0.041676,0,0,0,0
249,-0.045156,0,0,0,0
250,-0.043917,0,0,0,0
251,-0.045443,0,0,0,0
252,-0.046968,0,0,0,0
253,-0.042868,0,0,0,0
254,-0.043488,0,0,0,0
255,-0.044537,0,0,0,0
256,-0.048161,0,0,0,0
257,-0.046015,0,0,0,0
258,-0.044155,0,0,0,0
259,-0.046015,0,0,0,0
260,-0.043678,0,0,0,0
261,-0.043917,0,0,0,0
262,-0.046349,0,0,0,0
263,-0.04468,0,0,0,0
0,0,0,0,210,60.0
0,0,0,0,211,-471.0
0,0,0,0,212,-295.0
0,0,0,0,213,-383.0
0,0,0,0,214,-331.0
0,0,0,0,215,-133.0
0,0,0,0,216,99.0
0,0,0,0,217,-344.0
0,0,0,0,218,-67.0
0,0,0,0,219,-357.0
0,0,0,0,220,-424.0
0,0,0,0,221,-308.0
0,0,0,0,222,-68.0
0,0,0,0,223,-19.0
0,0,0,0,224,-197.0
264,-0.042486,0,0,0,0
265,-0.045347,0,0,0,0
266,-0.042439,0,0,0,0
267,-0.043201,0,0,0,0
268,-0.048113,0,0,0,0
269,-0.043535,0,0,0,0
270,-0.045967,0,0,0,0
271,-0.048923,0,0,0,0
0,0,0,0,225,289.0
0,0,0,0,226,-469.0
0,0,0,0,227,-603.0
0,0,0,0,228,-434.0
0,0,0,0,229,-50.0
0,0,0,0,230,-445.0
0,0,0,0,231,-620.0
0,0,0,0,232,-422.0
0,0,0,0,233,-31.0
0,0,0,0,234,-280.0
0,0,0,0,235,-158.0
0,0,0,0,236,-190.0
0,0,0,0,237,-297.0
0,0,0,0,238,-76.0
0,0,0,0,239,-54.0
272,-0.043344,0,0,0,0
273,-0.042963,0,0,0,0
274,-0.04468,0,0,0,0
275,-0.047302,0,0,0,0
276,-0.04425,0,0,0,0
277,-0.044203,0,0,0,0
278,-0.047684,0,0,0,0
279,-0.046921,0,0,0,0
280,-0.045824,0,0,0,0
281,-0.042391,0,0,0,0
282,-0.045395,0,0,0,0
283,-0.050354,0,0,0,0
284,-0.04673,0,0,0,0
285,-0.045586,0,0,0,0
286,-0.039291,0,0,0,0
287,-0.037718,0,0,0,0
0,0,0,0,240,2.0
0,0,0,0,241,-897.0
0,0,0,0,242,-906.0
0,0,0,0,243,-719.0
0,0,0,0,244,-559.0
0,0,0,0,245,-419.0
0,0,0,0,246,-301.0
0,0,0,0,247,-206.0
0,0,0,0,248,-126.0
0,0,0,0,249,-40.0
0,0,0,0,250,139.0
0,0,0,0,251,37.0
0,0,0,0,252,84.0
0,0,0,0,253,119.0
0,0,0,0,254,157.0
288,-0.046301,0,0,0,0
289,-0.045443,0,0,0,0
290,-0.044584,0,0,0,0
291,-0.043106,0,0,0,0
292,-0.041914,0,0,0,0
293,-0.045633,0,0,0,0
294,-0.044394,0,0,0,0
295,-0.043344,0,0,0,0
0,0,0,0,255,111.0
0,0,0,0,256,-59.0
0,0,0,0,257,-44.0
0,0,0,0,258,28.0
0,0,0,0,259,133.0
0,0,0,0,260,147.0
0,0,0,0,261,-81.0
0,0,0,0,262,-338.0
0,0,0,0,263,12.0
0,0,0,0,264,47.0
0,0,0,0,265,26.0
0,0,0,0,266,-41.0
0,0,0,0,267,274.0
0,0,0,0,268,-26.0
0,0,0,0,269,170.0
296,-0.04034,0,0,0,0
297,-0.04096,0,0,0,0
298,-0.041437,0,0,0,0
299,-0.03829,0,0,0,0
300,-0.040579,0,0,0,0
301,-0.040913,0,0,0,0
302,-0.045443,0,0,0,0
303,-0.046349,0,0,0,0
304,-0.043392,0,0,0,0
305,-0.045013,0,0,0,0
306,-0.045967,0,0,0,0
307,-0.043726,0,0,0,0
308,-0.039482,0,0,0,0
309,-0.043058,0,0,0,0
310,-0.0453,0,0,0,0
311,-0.042105,0,0,0,0
0,0,0,0,270,-422.0
0,0,0,0,271,-535.0
0,0,0,0,272,-441.0
0,0,0,0,273,-469.0
0,0,0,0,274,-400.0
0,0,0,0,275,-284.0
0,0,0,0,276,-328.0
0,0,0,0,277,-179.0
0,0,0,0,278,-170.0
0,0,0,0,279,-194.0
0,0,0,0,280,-161.0
0,0,0,0,281,-122.0
0,0,0,0,282,-96.0
0,0,0,0,283,-67.0
0,0,0,0,284,-43.0
312,-0.042868,0,0,0,0
313,-0.045109,0,0,0,0
314,-0.041723,0,0,0,0
315,-0.038767,0,0,0,0
316,-0.043392,0,0,0,0
317,-0.045013,0,0,0,0
318,-0.04487,0,0,0,0
319,-0.0422,0,0,0,0
320,-0.040913,0,0,0,0
321,-0.040627,0,0,0,0
322,-0.041437,0,0,0,0
323,-0.046635,0,0,0,0
324,-0.04282,0,0,0,0
325,-0.044394,0,0,0,0
326,-0.045443,0,0,0,0
327,-0.044489,0,0,0,0
0,0,0,0,285,235.0
0,0,0,0,286,50.0
0,0,0,0,287,30.0
0,0,0,0,288,4.0
0,0,0,0,289,-34.0
0,0,0,0,290,33.0
0,0,0,0,291,-373.0
0,0,0,0,292,-124.0
0,0,0,0,293,119.0
0,0,0,0,294,-94.0
0,0,0,0,295,-119.0
0,0,0,0,296,226.0
0,0,0,0,297,63.0
0,0,0,0,298,214.0
0,0,0,0,299,129.0
328,-0.047016,0,0,0,0
329,-0.040197,0,0,0,0
330,-0.041389,0,0,0,0
331,-0.046253,0,0,0,0
332,-0.047064,0,0,0,0
333,-0.044394,0,0,0,0
334,-0.041151,0,0,0,0
335,-0.042725,0,0,0,0
0,0,0,0,300,36.0
0,0,0,0,301,800.0
0,0,0,0,302,751.0
0,0,0,0,303,570.0
0,0,0,0,304,499.0
0,0,0,0,305,87.0
0,0,0,0,306,43.0
0,0,0,0,307,283.0
0,0,0,0,308,132.0
0,0,0,0,309,-83.0
0,0,0,0,310,-103.0
0,0,0,0,311,-200.0
0,0,0,0,312,95.0
0,0,0,0,313,26.0
0,0,0,0,314,67.0
336,-0.041199,0,0,0,0
337,-0.040674,0,0,0,0
338,-0.044918,0,0,0,0
339,-0.041533,0,0,0,0
340,-0.039577,0,0,0,0
341,-0.040817,0,0,0,0
342,-0.040436,0,0,0,0
343,-0.043154,0,0,0,0
344,-0.046444,0,0,0,0
345,-0.043011,0,0,0,0
346,-0.04034,0,0,0,0
347,-0.041485,0,0,0,0
348,-0.03891,0,0,0,0
349,-0.045156,0,0,0,0
350,-0.048018,0,0,0,0
351,-0.04077,0,0,0,0
0,0,0,0,315,-101.0
0,0,0,0,316,-69.0
0,0,0,0,317,-64.0
0,0,0,0,318,-67.0
0,0,0,0,319,34.0
0,0,0,0,320,4.0
0,0,0,0,321,31.0
0,0,0,0,322,-3.0
0,0,0,0,323,-113.0
0,0,0,0,324,5.0
0,0,0,0,325,-17.0
0,0,0,0,326,61.0
0,0,0,0,327,209.0
0,0,0,0,328,-83.0
0,0,0,0,329,-175.0
352,-0.042295,0,0,0,0
353,-0.043488,0,0,0,0
354,-0.039339,0,0,0,0
355,-0.042009,0,0,0,0
356,-0.044346,0,0,0,0
357,-0.04282,0,0,0,0
358,-0.038958,0,0,0,0
359,-0.03705,0,0,0,0
360,-0.046062,0,0,0,0
361,-0.043774,0,0,0,0
362,-0.038624,0,0,0,0
363,-0.041151,0,0,0,0
364,-0.040865,0,0,0,0
365,-0.045824,0,0,0,0
366,-0.041914,0,0,0,0
367,-0.037432,0,0,0,0
0,0,0,0,330,-107.0
0,0,0,0,331,898.0
0,0,0,0,332,1121.0
0,0,0,0,333,1058.0
0,0,0,0,334,881.0
0,0,0,0,335,635.0
0,0,0,0,336,216.0
0,0,0,0,337,166.0
0,0,0,0,338,248.0
0,0,0,0,339,-184.0
0,0,0,0,340,-162.0
0,0,0,0,341,-85.0
0,0,0,0,342,-175.0
0,0,0,0,343,15.0
0,0,0,0,344,-410.0
368,-0.039291,0,0,0,0
369,-0.043726,0,0,0,0
370,-0.04034,0,0,0,0
371,-0.036383,0,0,0,0
372,-0.039196,0,0,0,0
373,-0.032568,0,0,0,0
374,-0.040722,0,0,0,0
375,-0.041389,0,0,0,0
376,-0.036478,0,0,0,0
377,-0.041485,0,0,0,0
378,-0.037575,0,0,0,0
379,-0.042772,0,0,0,0
380,-0.04077,0,0,0,0
381,-0.038147,0,0,0,0
382,-0.045538,0,0,0,0
383,-0.039673,0,0,0,0
0,0,0,0,345,-459.0
0,0,0,0,346,-384.0
0,0,0,0,347,-453.0
0,0,0,0,348,-489.0
0,0,0,0,349,-350.0
0,0,0,0,350,-132.0
0,0,0,0,351,-78.0
0,0,0,0,352,-57.0
0,0,0,0,353,-189.0
0,0,0,0,354,-134.0
0,0,0,0,355,50.0
0,0,0,0,356,59.0
0,0,0,0,357,75.0
0,0,0,0,358,91.0
0,0,0,0,359,96.0
384,-0.042152,0,0,0,0
385,-0.041628,0,0,0,0
386,-0.035954,0,0,0,0
387,-0.044107,0,0,0,0
388,-0.043583,0,0,0,0
389,-0.040102,0,0,0,0
390,-0.041485,0,0,0,0
391,-0.045538,0,0,0,0
392,-0.043249,0,0,0,0
393,-0.040674,0,0,0,0
394,-0.043964,0,0,0,0
395,-0.040865,0,0,0,0
396,-0.041962,0,0,0,0
397,-0.042295,0,0,0,0
398,-0.038147,0,0,0,0
399,-0.037003,0,0,0,0
0,0,0,0,360,-30.0
0,0,0,0,361,150.0
0,0,0,0,362,102.0
0,0,0,0,363,-169.0
0,0,0,0,364,-14.0
0,0,0,0,365,49.0
0,0,0,0,366,-124.0
0,0,0,0,367,59.0
0,0,0,0,368,195.0
0,0,0,0,369,-272.0
0,0,0,0,370,-299.0
0,0,0,0,371,-354.0
0,0,0,0,372,-316.0
0,0,0,0,373,-97.0
0,0,0,0,374,-241.0
400,-0.04096,0,0,0,0
401,-0.044775,0,0,0,0
402,-0.04034,0,0,0,0
403,-0.036001,0,0,0,0
404,-0.036669,0,0,0,0
405,-0.038481,0,0,0,0
406,-0.039291,0,0,0,0
407,-0.040722,0,0,0,0
408,-0.040483,0,0,0,0
409,-0.037813,0,0,0,0
410,-0.03891,0,0,0,0
411,-0.036192,0,0,0,0
412,-0.03705,0,0,0,0
413,-0.038671,0,0,0,0
414,-0.034952,0,0,0,0
415,-0.038719,0,0,0,0
0,0,0,0,375,-77.0
0,0,0,0,376,37.0
0,0,0,0,377,366.0
0,0,0,0,378,226.0
0,0,0,0,379,240.0
0,0,0,0,380,134.0
0,0,0,0,381,218.0
0,0,0,0,382,243.0
0,0,0,0,383,767.0
0,0,0,0,384,527.0
0,0,0,0,385,515.0
0,0,0,0,386,528.0
0,0,0,0,387,493.0
0,0,0,0,388,727.0
0,0,0,0,389,575.0
416,-0.039673,0,0,0,0
417,-0.036192,0,0,0,0
418,-0.038385,0,0,0,0
419,-0.039959,0,0,0,0
420,-0.037241,0,0,0,0
421,-0.037003,0,0,0,0
422,-0.037384,0,0,0,0
423,-0.040817,0,0,0,0
0,0,0,0,390,-121.0
0,0,0,0,391,209.0
0,0,0,0,392,206.0
0,0,0,0,393,182.0
0,0,0,0,394,125.0
0,0,0,0,395,13.0
0,0,0,0,396,120.0
0,0,0,0,397,93.0
0,0,0,0,398,71.0
0,0,0,0,399,56.0
0,0,0,0,400,46.0
0,0,0,0,401,39.0
0,0,0,0,402,42.0
0,0,0,0,403,100.0
0,0,0,0,404,273.0
424,-0.041199,0,0,0,0
425,-0.03624,0,0,0,0
426,-0.038385,0,0,0,0
427,-0.040007,0,0,0,0
428,-0.038528,0,0,0,0
429,-0.03767,0,0,0,0
430,-0.037479,0,0,0,0
431,-0.039148,0,0,0,0
432,-0.037909,0,0,0,0
433,-0.035048,0,0,0,0
434,-0.037146,0,0,0,0
435,-0.037527,0,0,0,0
436,-0.031233,0,0,0,0
437,-0.032806,0,0,0,0
438,-0.037384,0,0,0,0
439,-0.035048,0,0,0,0
0,0,0,0,405,-308.0
0,0,0,0,406,-528.0
0,0,0,0,407,-450.0
0,0,0,0,408,-509.0
0,0,0,0,409,-793.0
0,0,0,0,410,-519.0
0,0,0,0,411,-376.0
0,0,0,0,412,-208.0
0,0,0,0,413,-334.0
0,0,0,0,414,-160.0
0,0,0,0,415,-252.0
0,0,0,0,416,-113.0
0,0,0,0,417,-87.0
0,0,0,0,418,-110.0
0,0,0,0,419,-142.0
440,-0.03643,0,0,0,0
441,-0.037336,0,0,0,0
442,-0.034618,0,0,0,0
443,-0.03624,0,0,0,0
444,-0.038624,0,0,0,0
445,-0.038385,0,0,0,0
446,-0.038147,0,0,0,0
447,-0.036335,0,0,0,0
448,-0.034237,0,0,0,0
449,-0.036335,0,0,0,0
450,-0.037432,0,0,0,0
451,-0.035,0,0,0,0
452,-0.031757,0,0,0,0
453,-0.037527,0,0,0,0
454,-0.039673,0,0,0,0
455,-0.033808,0,0,0,0
0,0,0,0,420,-324.0
0,0,0,0,421,-427.0
0,0,0,0,422,-499.0
0,0,0,0,423,-513.0
0,0,0,0,424,-483.0
0,0,0,0,425,-460.0
0,0,0,0,426,-441.0
0,0,0,0,427,-428.0
0,0,0,0,428,-431.0
0,0,0,0,429,-538.0
0,0,0,0,430,-494.0
0,0,0,0,431,-372.0
0,0,0,0,432,-590.0
0,0,0,0,433,-642.0
0,0,0,0,434,-485.0
456,-0.037289,0,0,0,0
457,-0.034475,0,0,0,0
458,-0.035334,0,0,0,0
459,-0.039577,0,0,0,0
460,-0.036764,0,0,0,0
461,-0.040054,0,0,0,0
462,-0.03581,0,0,0,0
463,-0.033045,0,0,0,0
464,-0.032663,0,0,0,0
465,-0.029707,0,0,0,0
466,-0.035143,0,0,0,0
467,-0.035429,0,0,0,0
468,-0.03314,0,0,0,0
469,-0.036144,0,0,0,0
470,-0.035954,0,0,0,0
471,-0.03438,0,0,0,0
0,0,0,0,435,-207.0
